subject_id,condition,goal_percent,delsys_processed_amplitude,condition_trial_count,delsys_baseline_amplitude,baseline_trial_count,baseline_ratio,baseline_percent_change
1,MTR20,20,1.0859104363111356,3,0.2881733804086135,2,3.768253801830607,276.8253801830607
1,MTR40,40,1.5444084423065203,2,0.2881733804086135,2,5.359302931161223,435.9302931161223
1,MTR60,60,1.918857208290805,2,0.2881733804086135,2,6.6586900065855295,565.869000658553
1,MTR80,80,1.9014867902839645,2,0.2881733804086135,2,6.598412343248929,559.8412343248929
2,MTR20,20,0.1482495975944639,2,0.1452923623441213,3,1.020353686887811,2.035368688781092
2,MTR40,40,0.1917774754525116,2,0.1452923623441213,3,1.319941890670698,31.99418906706981
2,MTR60,60,0.42982605322993,2,0.1452923623441213,3,2.9583527055049035,195.83527055049035
2,MTR80,80,0.6505290191648125,2,0.1452923623441213,3,4.477379324482665,347.73793244826646
3,MTR20,20,0.4780682716325543,2,0.2777912916201924,2,1.7209620533612286,72.09620533612286
3,MTR40,40,0.4650186430265876,2,0.2777912916201924,2,1.6739856757726588,67.39856757726588
3,MTR60,60,0.5882962127947269,2,0.2777912916201924,2,2.1177633372289777,111.77633372289776
3,MTR80,80,0.7360553546291277,2,0.2777912916201924,2,2.6496703706446367,164.96703706446368
4,MTR20,20,1.095269188204974,2,0.3559439342312711,2,3.077083447342394,207.70834473423932
4,MTR40,40,0.7398235837822735,2,0.3559439342312711,2,2.07848347066249,107.84834706624902
4,MTR60,60,0.7237791370478823,2,0.3559439342312711,2,2.033407701162324,103.34077011623238
4,MTR80,80,1.140075233912138,2,0.3559439342312711,2,3.202962950820747,220.2962950820747
5,MTR20,20,0.209370936360134,2,0.2150611292789766,1,0.9735415091610476,-2.6458490838952464
5,MTR40,40,0.2112840803739994,2,0.2150611292789766,1,0.9824373241336534,-1.756267586634663
5,MTR60,60,0.2460419597675427,2,0.2150611292789766,1,1.144055927691042,14.405592769104205
5,MTR80,80,0.2564162460961503,2,0.2150611292789766,1,1.1922947068855383,19.229470688553853
6,MTR20,20,1.0481222268028236,2,0.8329720633488293,1,1.2582921719955624,25.829217199556243
6,MTR40,40,1.011908959325055,2,0.8329720633488293,1,1.2148174036675838,21.481740366758384
6,MTR60,60,1.0083193927860268,2,0.8329720633488293,1,1.210508055615025,21.050805561502493
6,MTR80,80,1.034593530282354,2,0.8329720633488293,1,1.2420506951012715,24.20506951012716
7,MTR20,20,0.3636464172043342,2,0.4110928235552149,1,0.8845846883422716,-11.541531165772843
7,MTR40,40,0.4632877344624005,2,0.4110928235552149,1,1.12696624196889,12.696624196888994
7,MTR60,60,0.6006346308025698,2,0.4110928235552149,1,1.461068149057331,46.106814905733096
7,MTR80,80,0.6766000014296173,2,0.4110928235552149,1,1.6458570003198838,64.58570003198838
8,MTR20,20,0.4499730823513516,2,0.4214225784525803,1,1.0677479218213834,6.774792182138345
8,MTR40,40,0.558349321566747,2,0.4214225784525803,1,1.3249155363648226,32.491553636482266
8,MTR60,60,0.6609501718979061,2,0.4214225784525803,1,1.5683786434149922,56.83786434149922
8,MTR80,80,0.6934436075638758,2,0.4214225784525803,1,1.64548280756605,64.548280756605
9,MTR20,20,1.335525947529394,2,1.0179132723824005,1,1.312023316489065,31.20233164890649
9,MTR40,40,1.3628749771109807,2,1.0179132723824005,1,1.3388910569180477,33.889105691804765
9,MTR60,60,1.7306110179591256,2,1.0179132723824005,1,1.700155666414167,70.01556664141671
9,MTR80,80,1.8264598098504403,2,1.0179132723824005,1,1.794317708006358,79.43177080063579
10,MTR20,20,0.2888198790425429,2,0.4351943757340502,1,0.6636571958343561,-33.63428041656439
10,MTR40,40,0.3135541886491703,2,0.4351943757340502,1,0.7204922814553677,-27.95077185446323
10,MTR60,60,0.3950360924429357,3,0.4351943757340502,1,0.9077233403502084,-9.22766596497916
10,MTR80,80,0.4871906143027921,2,0.4351943757340502,1,1.1194781951881592,11.947819518815916
12,MTR20,20,0.4154201452165212,2,0.4488410674144335,1,0.9255395180516016,-7.446048194839849
12,MTR40,40,0.4253979073885837,2,0.4488410674144335,1,0.9477695742929784,-5.223042570702152
12,MTR60,60,0.482287680353238,2,0.4488410674144335,1,1.07451771989465,7.451771989465006
12,MTR80,80,0.5166561001352181,2,0.4488410674144335,1,1.1510891886774883,15.108918867748834
13,MTR20,20,1.6470984194993663,2,1.5408550560198868,1,1.0689509133674855,6.895091336748571
13,MTR40,40,1.8979960762658576,2,1.5408550560198868,1,1.2317810613338842,23.17810613338842
13,MTR60,60,2.068329010644783,2,1.5408550560198868,1,1.3423254851675606,34.232548516756054
13,MTR80,80,2.079759469463208,2,1.5408550560198868,1,1.3497437421760752,34.97437421760752
14,MTR20,20,0.7577915230533091,2,0.743977658098542,1,1.0185675803626584,1.8567580362658376
14,MTR40,40,0.9625645913435986,2,0.743977658098542,1,1.2938084643613104,29.38084643613104
14,MTR60,60,1.2622425030431346,2,0.743977658098542,1,1.6966134524377705,69.66134524377705
14,MTR80,80,1.1146802445746942,2,0.743977658098542,1,1.4982711274201348,49.82711274201348
15,MTR20,20,0.3001190690647888,2,0.183650949462386,1,1.6341819628123235,63.41819628123236
15,MTR40,40,0.3393662170909985,2,0.183650949462386,1,1.847887081904278,84.78870819042781
15,MTR60,60,0.3133787751711195,2,0.183650949462386,1,1.706382548462149,70.6382548462149
15,MTR80,80,0.3670238611396577,2,0.183650949462386,1,1.998486053102757,99.8486053102757
16,MTR20,20,2.1188422796366977,2,0.5125104977696823,1,4.134241715745083,313.4241715745083
16,MTR40,40,1.9483577212936545,2,0.5125104977696823,1,3.8015957327165406,280.15957327165404
16,MTR60,60,2.144288731525168,2,0.5125104977696823,1,4.18389231217034,318.389231217034
16,MTR80,80,1.9647906979406875,2,0.5125104977696823,1,3.8336594206186327,283.3659420618633
17,MTR20,20,1.9799374765206528,2,1.1644837994065085,1,1.700270521178353,70.02705211783532
17,MTR40,40,1.9492569087402964,2,1.1644837994065085,1,1.673923595788757,67.3923595788757
17,MTR60,60,1.9923730222778,2,1.1644837994065085,1,1.7109495411556892,71.09495411556892
17,MTR80,80,2.0088235618083905,2,1.1644837994065085,1,1.7250764354405006,72.50764354405005
18,MTR20,20,1.7399652485263566,1,1.3822364068948694,1,1.2588043838572511,25.88043838572512
18,MTR40,40,1.5758221571691082,2,1.3822364068948694,1,1.1400525621439246,14.00525621439246
18,MTR60,60,2.279138125388534,2,1.3822364068948694,1,1.64887722101642,64.887722101642
18,MTR80,80,2.2394456829529803,2,1.3822364068948694,1,1.6201611184470188,62.01611184470188
19,MTR20,20,1.824548844994044,2,1.1704845569290605,1,1.5587978792142438,55.87978792142438
19,MTR40,40,1.7013590869958812,2,1.1704845569290605,1,1.453551075854985,45.3551075854985
19,MTR60,60,1.6912799545694477,2,1.1704845569290605,1,1.4449399990434484,44.49399990434484
19,MTR80,80,2.0825141445657547,2,1.1704845569290605,1,1.77918976567238,77.918976567238
20,MTR20,20,1.0789638259439724,2,0.3592722854478526,1,3.003192480040549,200.31924800405488
