subject_id,condition,goal_percent,side,gait_cycle_pct,mlgrf_norm_mean,apgrf_norm_mean,vgrf_norm_mean,n_cycles,normalization_factor
1,Baseline,0,L,0.0,-0.0028177923982421,0.0117842914955201,0.0267846175596354,97,0.9962166261897883
1,Baseline,0,L,1.0,-0.0113892517755965,0.0598199288034088,0.1465461863350226,97,0.9962166261897883
1,Baseline,0,L,2.0,-0.0324594981651333,0.0730334408555531,0.2886764734682082,97,0.9962166261897883
1,Baseline,0,L,3.0,-0.0406930964838285,0.0040940707872864,0.3198440805707621,97,0.9962166261897883
1,Baseline,0,L,4.0,-0.036116158862677,-0.0706031843959976,0.3420998700188265,97,0.9962166261897883
1,Baseline,0,L,5.0,-0.0271476038767792,-0.0910776010939772,0.4388097241641116,97,0.9962166261897883
1,Baseline,0,L,6.0,-0.0112549631476725,-0.0854931412738738,0.5590426905975434,97,0.9962166261897883
1,Baseline,0,L,7.0,0.0090020772610337,-0.1033178946170226,0.6386757079031868,97,0.9962166261897883
1,Baseline,0,L,8.0,0.0239664050015374,-0.1214357519338746,0.6929969771837913,97,0.9962166261897883
1,Baseline,0,L,9.0,0.0309915263822311,-0.1307342660896316,0.7514512015888647,97,0.9962166261897883
1,Baseline,0,L,10.0,0.0346771554125733,-0.1393356838742309,0.8142116031412965,97,0.9962166261897883
1,Baseline,0,L,11.0,0.0426664020165167,-0.1439052300766783,0.8734565297244464,97,0.9962166261897883
1,Baseline,0,L,12.0,0.0482064177321416,-0.1396708860693355,0.9198644493488972,97,0.9962166261897883
1,Baseline,0,L,13.0,0.0495138262806671,-0.1323759591272964,0.950562383302002,97,0.9962166261897883
1,Baseline,0,L,14.0,0.0480615559940576,-0.125754208029734,0.9650625580469384,97,0.9962166261897883
1,Baseline,0,L,15.0,0.045295469736495,-0.1191909207890827,0.9637567933192384,97,0.9962166261897883
1,Baseline,0,L,16.0,0.04281462743659,-0.1122727132892971,0.9508242786892688,97,0.9962166261897883
1,Baseline,0,L,17.0,0.0405946576200111,-0.1047739250539364,0.933120882709385,97,0.9962166261897883
1,Baseline,0,L,18.0,0.0381328464621378,-0.0966146033788229,0.9119672496549348,97,0.9962166261897883
1,Baseline,0,L,19.0,0.0354584639444418,-0.0884309999892183,0.8865856644870324,97,0.9962166261897883
1,Baseline,0,L,20.0,0.033045015213821,-0.0805558298293483,0.8576460795773411,97,0.9962166261897883
1,Baseline,0,L,21.0,0.0316047737557216,-0.0728869048289522,0.8277116343195872,97,0.9962166261897883
1,Baseline,0,L,22.0,0.0309700058502341,-0.0653280426757416,0.7988289162662146,97,0.9962166261897883
1,Baseline,0,L,23.0,0.0303444096311951,-0.0580372489791814,0.7724458209077587,97,0.9962166261897883
1,Baseline,0,L,24.0,0.0289832226288247,-0.0510141543894651,0.7498023464127272,97,0.9962166261897883
1,Baseline,0,L,25.0,0.0268788151681041,-0.0442238415571451,0.732324198201326,97,0.9962166261897883
1,Baseline,0,L,26.0,0.0244170971127046,-0.0374555418461624,0.7201171614700875,97,0.9962166261897883
1,Baseline,0,L,27.0,0.0225450328121422,-0.0310683446419739,0.7126617522971745,97,0.9962166261897883
1,Baseline,0,L,28.0,0.0214853416711193,-0.0257115341011581,0.7068171189882099,97,0.9962166261897883
1,Baseline,0,L,29.0,0.0211754064514112,-0.020847054886816,0.7019235453470946,97,0.9962166261897883
1,Baseline,0,L,30.0,0.0213402566582222,-0.0164566915942382,0.6985268941257055,97,0.9962166261897883
1,Baseline,0,L,31.0,0.0214752024904214,-0.0118131150094654,0.6975642623872599,97,0.9962166261897883
1,Baseline,0,L,32.0,0.0213037979259019,-0.0068825103823304,0.698794952697039,97,0.9962166261897883
1,Baseline,0,L,33.0,0.0210084771668512,-0.0016568652388067,0.7023354538006907,97,0.9962166261897883
1,Baseline,0,L,34.0,0.0208152401696053,0.0041896020678558,0.708083421737588,97,0.9962166261897883
1,Baseline,0,L,35.0,0.0209544933173491,0.0103280006881212,0.7160298409638562,97,0.9962166261897883
1,Baseline,0,L,36.0,0.0215382831612962,0.0165150657214579,0.7267594699645636,97,0.9962166261897883
1,Baseline,0,L,37.0,0.0226858411141389,0.0228910139681563,0.7401081595085691,97,0.9962166261897883
1,Baseline,0,L,38.0,0.0242394635097848,0.0296133406324705,0.7560750330795114,97,0.9962166261897883
1,Baseline,0,L,39.0,0.0261279648357744,0.036987089502373,0.7746197397210565,97,0.9962166261897883
1,Baseline,0,L,40.0,0.0284468186263058,0.0452048439597805,0.7971273928037861,97,0.9962166261897883
1,Baseline,0,L,41.0,0.03113740274079,0.0537859684749514,0.8241136475812023,97,0.9962166261897883
1,Baseline,0,L,42.0,0.034292072846504,0.0625670255414878,0.8540313536569135,97,0.9962166261897883
1,Baseline,0,L,43.0,0.0373254415935108,0.0712181607768988,0.8830477937266151,97,0.9962166261897883
1,Baseline,0,L,44.0,0.0394333501171873,0.0793181344873805,0.9087054643728584,97,0.9962166261897883
1,Baseline,0,L,45.0,0.0402723490501217,0.086409300022889,0.9299943364190482,97,0.9962166261897883
1,Baseline,0,L,46.0,0.0403743059197208,0.0927472663101474,0.9462972432022312,97,0.9962166261897883
1,Baseline,0,L,47.0,0.0398472539797311,0.099098678882687,0.95561402173536,97,0.9962166261897883
1,Baseline,0,L,48.0,0.0385390288509374,0.1059395737590167,0.9565131672262304,97,0.9962166261897883
1,Baseline,0,L,49.0,0.0366663200313259,0.1138351091493303,0.9472907684425,97,0.9962166261897883
1,Baseline,0,L,50.0,0.0346811703410996,0.123766684084462,0.9280011602918576,97,0.9962166261897883
1,Baseline,0,L,51.0,0.0330852518856819,0.1358888576795406,0.9009155997189592,97,0.9962166261897883
1,Baseline,0,L,52.0,0.0316735084915761,0.1443492199105537,0.8614062573957021,97,0.9962166261897883
1,Baseline,0,L,53.0,0.028933407739022,0.1477474061841398,0.8031967266247875,97,0.9962166261897883
1,Baseline,0,L,54.0,0.0224965430267719,0.1460681528919608,0.7242237998343356,97,0.9962166261897883
1,Baseline,0,L,55.0,0.0123340063321061,0.1407823455975169,0.6278696474120696,97,0.9962166261897883
1,Baseline,0,L,56.0,0.0005208436425516,0.1296153412788539,0.5181613660258364,97,0.9962166261897883
1,Baseline,0,L,57.0,-0.0105195804865821,0.107623532024883,0.4001655962631956,97,0.9962166261897883
1,Baseline,0,L,58.0,-0.017332034162646,0.0743415949765558,0.2882377224200839,97,0.9962166261897883
1,Baseline,0,L,59.0,-0.0167356257057477,0.0394864798258153,0.1995018260754797,97,0.9962166261897883
1,Baseline,0,L,60.0,-0.0123776711799231,0.0146403468048122,0.1395117880796232,97,0.9962166261897883
1,Baseline,0,L,61.0,-0.0079395963291697,0.001880401895325,0.0990023191822085,97,0.9962166261897883
1,Baseline,0,L,62.0,-0.0037113551087865,-0.0030530159977111,0.0642143860849596,97,0.9962166261897883
1,Baseline,0,L,63.0,-0.001421622262236,-0.0041868648741032,0.0445921689967697,97,0.9962166261897883
1,Baseline,0,L,64.0,-0.000915832269433,-0.0042590907185895,0.0397235538317182,97,0.9962166261897883
1,Baseline,0,L,65.0,-0.0007971263209347,-0.0040261114294776,0.0373042870056011,97,0.9962166261897883
1,Baseline,0,L,66.0,-0.0009319926083523,-0.003603213869167,0.0349544262321162,97,0.9962166261897883
1,Baseline,0,L,67.0,-0.0012393744957981,-0.0034176390458555,0.0326161383690827,97,0.9962166261897883
1,Baseline,0,L,68.0,-0.0014797452527693,-0.0031763568841449,0.0300073245765664,97,0.9962166261897883
1,Baseline,0,L,69.0,-0.001615406599858,-0.0028896866101296,0.0272049815309793,97,0.9962166261897883
1,Baseline,0,L,70.0,-0.0015374779666483,-0.0025443827351986,0.0244522583400125,97,0.9962166261897883
1,Baseline,0,L,71.0,-0.0014267922570894,-0.0025422531947572,0.0224448088510283,97,0.9962166261897883
1,Baseline,0,L,72.0,-0.0009890579971583,-0.0021435162688312,0.0207325861414787,97,0.9962166261897883
1,Baseline,0,L,73.0,-0.0005415480644398,-0.0013912195876739,0.0191336045495687,97,0.9962166261897883
1,Baseline,0,L,74.0,-0.0003663711626952,-0.0009298879195226,0.0180814468582019,97,0.9962166261897883
1,Baseline,0,L,75.0,-0.0003165677613825,-0.0006840020005477,0.0171408816792781,97,0.9962166261897883
1,Baseline,0,L,76.0,-0.0003158035640761,-0.0004021664035462,0.0157872385854547,97,0.9962166261897883
1,Baseline,0,L,77.0,-0.0003066076133675,5.214527098194249e-05,0.0135694379699589,97,0.9962166261897883
1,Baseline,0,L,78.0,-0.0005516021663843,7.166651254622154e-05,0.011009268203224,97,0.9962166261897883
1,Baseline,0,L,79.0,-0.0005561391775866,0.0001786873662941,0.0074764607720338,97,0.9962166261897883
1,Baseline,0,L,80.0,-0.0005470994517931,-0.0006641419423585,0.0048793895650401,97,0.9962166261897883
1,Baseline,0,L,81.0,-0.0003855951212453,-0.0010800958268469,0.0035104430089374,97,0.9962166261897883
1,Baseline,0,L,82.0,-0.0002844020569971,-0.001136085801796,0.0026568156739049,97,0.9962166261897883
1,Baseline,0,L,83.0,-0.0002694132171341,-0.0010850673307271,0.0024704100857906,97,0.9962166261897883
1,Baseline,0,L,84.0,-0.0002671614996677,-0.0010675435130074,0.0022832381887342,97,0.9962166261897883
1,Baseline,0,L,85.0,-0.000272980874804,-0.0010253324486978,0.002092523035063,97,0.9962166261897883
1,Baseline,0,L,86.0,-0.0002822979824177,-0.0009649521042092,0.0019194610883299,97,0.9962166261897883
1,Baseline,0,L,87.0,-0.0002524685631554,-0.0007118671970846,0.0014993355955271,97,0.9962166261897883
