subject_id,condition,goal_percent,ap_braking_impulse_nbw_s_mean,ap_propulsive_impulse_nbw_s_mean,ap_net_impulse_nbw_s_mean,vertical_impulse_stance_nbw_s_mean,ml_outward_impulse_nbw_s_mean,vertical_avg_loading_rate_nbw_s_mean,vertical_peak_loading_rate_nbw_s_mean,ap_braking_development_rate_nbw_s_mean,ap_propulsion_development_rate_nbw_s_mean
1,Baseline,0,0.03314219074848545,0.030072685983207552,-0.00331599279292745,0.5756374271592951,0.0234861446190444,5.431951680363888,13.015653082933987,1.1162978643004513,0.6479182492665927
1,MTR20,20,0.03760288641615166,0.0334975790023165,-0.004093934288889049,0.5650497395804113,0.0293916947769597,6.66888167336371,16.227682286854318,1.3311560935680675,0.872676978331849
1,MTR40,40,0.0381404819286999,0.032919705256165596,-0.004967657708856636,0.5495079875960815,0.0262576653748921,7.22574894975646,18.40808170564816,1.4996373093735957,0.9720133087056924
1,MTR60,60,0.037755626453722546,0.0327815930056983,-0.00489485542004265,0.5296590334905611,0.02493593897063685,7.960916055106305,19.85942726347386,1.6396784678019625,1.0907511707834032
1,MTR80,80,0.0397720333821123,0.0339129376452934,-0.00574383057262755,0.49651914732741453,0.02259222488174335,9.602888899302107,26.32128291006652,2.253078852755194,1.3707754753205348
2,Baseline,0,0.02895934030506625,0.030656609445321753,0.0016928729797249498,0.5977428786357438,0.029969609472237847,6.512389286993248,14.01181564495916,1.383954503605734,0.6960319682234463
2,MTR20,20,0.020632646471276,0.03867243003266745,0.017524169414415598,0.5349456326145583,0.0298444732329098,7.327924550760438,13.029398272896987,1.2231476125648362,0.6731176975565688
2,MTR40,40,0.02291329814589845,0.0408161459660175,0.01787611540737415,0.5178451046007189,0.0292970174404537,8.344995913754573,16.470496148559914,1.4570536276027632,0.8708128806062392
2,MTR60,60,0.016206825679610102,0.06064987381215565,0.04445451878918285,0.5101889132001927,0.0341526551045805,8.67053648934591,20.77760508666232,1.2234086898376222,1.1611745088511
2,MTR80,80,0.05116026167524295,0.0545129048183019,-0.0004924689918162999,0.5899900397037998,0.04350836823634375,10.773974887177024,25.24312525017431,2.612017253212542,1.596999541997979
3,MTR20,20,0.04875328151930585,0.03771885166008465,-0.01081407547451585,0.657068436123137,0.040597255112434796,11.360334377540983,24.152292332924134,3.2486756841325897,1.0236585131061962
3,MTR40,40,0.04474488590241665,0.0338032280309907,-0.0107879541627575,0.6069642034349216,0.040139003044407096,11.553086229096479,24.595049358314697,3.433248507234569,1.1964130457782434
3,MTR60,60,0.041579802872702146,0.034540510921598946,-0.00710598092958925,0.5489695482724289,0.03983953557263535,15.731232397122067,32.725760087307506,4.613253002319553,1.3160226902677523
3,MTR80,80,0.04957319699616865,0.0427825474431202,-0.006827592196331949,0.5546354057754492,0.0422852785490392,18.391057850971833,48.7486725038206,6.772868596458599,1.3793486750487522
4,Baseline,0,0.03558754623336575,0.03723451492893675,0.0013731472078023499,0.5743489968719528,0.03163562673457065,6.5292527845051715,13.818779365357116,1.3783710376410332,0.9114855592288789
4,MTR20,20,0.041202602455857246,0.0338453667375041,-0.00823386820632305,0.5357652475795054,0.02462591119650635,10.190923233057973,27.980907419042616,2.1693283448152525,1.3560171502683094
4,MTR40,40,0.04339361835124835,0.035779479453335344,-0.0083954810507471,0.5439158625530229,0.02591122976922305,10.013099273641707,23.815228719633183,2.1638661758468336,1.410582633158871
4,MTR60,60,0.04723164330400105,0.037909234801834446,-0.00915293016886445,0.5352397340719632,0.02330112839217225,11.339967641525028,27.98962456052581,2.4831368763097377,1.6836362974047527
