subject_id,condition,goal_percent,side,ml_outward_peak_5_25,ap_braking_peak_5_25,ap_propulsion_peak_35_60,vertical_impact_peak_0_15,vertical_loading_slope_nbw_per_pct_0_15,vertical_first_peak_5_25,vertical_first_peak_timing_pct_5_25,vertical_midstance_minimum_20_40,vertical_second_peak_35_55,vertical_second_peak_timing_pct_35_55
1,Baseline,0,L,0.0495138262806671,-0.1439052300766783,0.1477474061841398,0.9650625580469384,0.1309459279542863,0.9650625580469384,14.0,0.6975642623872599,0.9565131672262304,48.0
1,Baseline,0,R,0.0516801869981599,-0.1456393675475459,0.1271122450045268,0.9667594761099904,0.1267122167770607,0.9726006251010768,16.0,0.6739864571496628,0.9300772208091356,49.0
1,MTR20,20,L,0.0745571338122883,-0.1597621961134952,0.195783032868296,1.123328146581222,0.174162485631268,1.123328146581222,13.0,0.7204549918322952,1.0188430505935884,46.0
1,MTR20,20,R,0.0815663988394828,-0.1966114128196835,0.1942801102383592,1.1533475395593322,0.1419702880393953,1.1533475395593322,15.0,0.6170100002983658,1.0073897365234898,48.0
1,MTR40,40,L,0.0752379120072984,-0.1710594254756027,0.1974139117712171,1.1338477134125229,0.2094794863030117,1.1338477134125229,13.0,0.6992872370063544,1.0281872819388649,45.0
1,MTR40,40,R,0.0813414940227743,-0.2094863777209622,0.2097358427949031,1.2050512861258973,0.1479303801400911,1.2050512861258973,15.0,0.5392909073636037,1.005786315677425,48.0
1,MTR60,60,L,0.0763350814519108,-0.170712777639318,0.2043679042344051,1.147124333454741,0.2120233434066044,1.147124333454741,13.0,0.6758131143462281,1.0141959032704313,45.0
1,MTR60,60,R,0.0865145074010754,-0.2268592819645227,0.2017282118940006,1.2446441951625955,0.1688203466277874,1.2446441951625955,14.0,0.5037499347015558,0.9705219198153848,48.0
1,MTR80,80,L,0.0773240241241863,-0.2179922662599907,0.2443651464578211,1.2272360824933868,0.2772179096676734,1.2272360824933868,12.0,0.5878916219894711,1.0783194194357983,46.0
1,MTR80,80,R,0.0908238829359264,-0.2549608593236883,0.2303780614381106,1.2696951183406868,0.2061165279424052,1.2696951183406868,13.0,0.4631938244833963,0.9742961326812996,48.0
2,Baseline,0,L,0.0567376648920287,-0.13729390122397,0.1761784736851825,1.0005209124308472,0.1301963917229812,1.0005209124308472,15.0,0.856782176078785,1.0395191680670943,48.0
