subject_id,condition,goal_percent,phase,phase_label,component,component_label,mean_force,impulse,peak_positive,peak_negative,Speed,goal_scaled_20
1,MTR40,40,terminal_stance,Terminal stance,ml_outward,ML outward,0.040212784868125,0.0056303973114108,0.0459108489593759,0.0346865177461349,1.32,2.0
1,MTR40,40,terminal_stance,Terminal stance,vgrf_norm_mean,Vertical GRF,0.8706805778231457,0.122380436654485,1.016986798808145,0.6748912500378721,1.32,2.0
1,MTR60,60,loading_response,Loading response,apgrf_norm_mean,APGRF,-0.1170431768455667,-0.0166254042826591,0.0310233272307173,-0.1987860298019203,1.4,3.0
1,MTR60,60,loading_response,Loading response,ml_outward,ML outward,0.0244332237575744,0.0032988325543719,0.0814247944264931,-0.0343125141113752,1.4,3.0
1,MTR60,60,loading_response,Loading response,vgrf_norm_mean,Vertical GRF,0.7948100401260232,0.1131293581071335,1.1958842643086682,0.0267388818347418,1.4,3.0
1,MTR60,60,midstance,Midstance,apgrf_norm_mean,APGRF,-0.0659252026117034,-0.0123499439394787,0.0085729564204103,-0.1721949168264631,1.4,3.0
1,MTR60,60,midstance,Midstance,ml_outward,ML outward,0.0465122768351072,0.008767756225215,0.0679241269258331,0.036394394591532,1.4,3.0
1,MTR60,60,midstance,Midstance,vgrf_norm_mean,Vertical GRF,0.8014769561327018,0.1512725558703577,1.17231730428724,0.589781524523892,1.4,3.0
1,MTR60,60,pre_swing,Pre-swing,apgrf_norm_mean,APGRF,0.0886305333336689,0.0123240011239432,0.2030480580642028,-5.3466302865409394e-05,1.4,3.0
1,MTR60,60,pre_swing,Pre-swing,ml_outward,ML outward,0.0102908582280054,0.0013448440404381,0.0388784529059463,-0.0061314478268396,1.4,3.0
1,MTR60,60,pre_swing,Pre-swing,vgrf_norm_mean,Vertical GRF,0.3566877948342527,0.0489291451023205,0.8945644458650452,0.0202403786984296,1.4,3.0
1,MTR60,60,terminal_stance,Terminal stance,apgrf_norm_mean,APGRF,0.0861624374674187,0.0119614527949736,0.1835502879656382,0.0090322770621899,1.4,3.0
